Date,Receipt,Description,Amount
11/20/2020,,Amazon Marketplace,21.10
11/20/2020,,Amazon Marketplace,33.55
11/20/2020,,AMAZON.COM          SEATTLE             WA,29.36
11/19/2020,,Amazon Marketplace,28.13
11/19/2020,,Amazon Marketplace,29.21
11/19/2020,,AMAZON.COM          SEATTLE             WA,5.98
11/19/2020,,PIRATE SHIP POSTAGE JACKSON             WY,1.00
11/19/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.39
11/19/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.30
11/18/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.99
11/18/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/18/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/18/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/17/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/17/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/16/2020,,AUTOPAY PAYMENT - THANK YOU,-460.55
11/12/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/12/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.30
11/12/2020,,SP * THROWLIGHTS    EMERYVILLE          CA,49.50
11/11/2020,,Amazon Marketplace,23.08
11/11/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/11/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/11/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/11/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/10/2020,,Amazon Marketplace,0.46
11/10/2020,,Amazon Marketplace,8.08
11/10/2020,,Amazon Marketplace,8.65
11/10/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/10/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/10/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/10/2020,,PIRATE SHIP POSTAGE JACKSON             WY,16.39
11/09/2020,,HEROKU *OCT-42573951SAN FRANCISCO       CA,7.47
11/09/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/09/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/09/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/09/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.30
11/09/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.30
11/07/2020,,Amazon Marketplace,19.47
11/06/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/06/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/06/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
11/04/2020,,AMAZON MKTPLACE PMTSSEATTLE             WA,-43.29
11/04/2020,,AMAZON MKTPLACE PMTSSEATTLE             WA,-14.05
11/04/2020,,AMAZON MKTPLACE PMTSSEATTLE             WA,-5.73
11/04/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.99
11/04/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/04/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.30
11/04/2020,,PIRATE SHIP POSTAGE JACKSON             WY,8.20
11/03/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/03/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.30
