Date,Receipt,Description,Amount
11/02/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.01
11/02/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/02/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
11/02/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
10/31/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.18
10/30/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.99
10/30/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.03
10/30/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
10/28/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.99
10/28/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.09
10/27/2020,,PIRATE SHIP POSTAGE JACKSON             WY,3.30
10/27/2020,,PIRATE SHIP POSTAGE JACKSON             WY,16.39
10/25/2020,,PRUSA RESEARCH      PRAGUE              CZ,324.50
10/23/2020,,PIRATE SHIP POSTAGE JACKSON             WY,2.99
